Longitude(deg),Latitude(deg),Depth(km),dVp(%),HitQuality
160.51921,-47.967182,60,-3.20202E-09,0
160.55548,-47.744274,60,-5.80804E-09,0
160.59144,-47.521293,60,-7.54233E-09,0
160.62711,-47.298243,60,-7.78492E-09,0
160.66248,-47.075126,60,-8.01343E-09,0
160.69757,-46.851946,60,-1.21351E-08,0
160.73238,-46.628707,60,-3.20862E-08,0
160.7669,-46.405413,60,-8.79317E-08,0
160.80116,-46.182066,60,-2.58313E-07,0
160.83514,-45.958672,60,-7.11120E-07,0
160.86885,-45.735232,60,-1.71566E-06,0
160.9023,-45.511752,60,-3.38368E-06,0
160.93549,-45.288233,60,-5.20795E-06,0
160.96842,-45.064681,60,-6.60338E-06,0
161.0011,-44.841098,60,-7.27218E-06,0
161.03353,-44.617489,60,-7.18673E-06,0
161.06571,-44.393856,60,-6.29563E-06,0
161.09765,-44.170203,60,-4.62886E-06,0
161.12934,-43.946534,60,-2.58164E-06,0
161.1608,-43.722853,60,-5.72464E-07,0
161.19203,-43.499163,60,2.03318E-06,0
161.22303,-43.275467,60,5.71549E-06,0
161.25379,-43.051769,60,8.82493E-06,0
161.28434,-42.828073,60,1.21061E-05,0
161.31466,-42.604383,60,2.39158E-05,0
161.34476,-42.380701,60,4.96701E-05,0
161.37464,-42.157032,60,8.06041E-05,0
161.40432,-41.933379,60,1.07488E-04,0
161.43378,-41.709745,60,1.37969E-04,0
161.46303,-41.486135,60,1.80738E-04,0
161.49207,-41.262551,60,2.22063E-04,0
161.52092,-41.038997,60,2.37551E-04,0
161.54956,-40.815477,60,2.18570E-04,0
161.57801,-40.591994,60,1.77862E-04,0
161.60626,-40.368552,60,1.32143E-04,0
161.63431,-40.145154,60,9.15678E-05,0
161.66218,-39.921805,60,6.29017E-05,0
161.68985,-39.698506,60,4.18570E-05,0
161.71735,-39.475262,60,2.60969E-05,0
161.74465,-39.252077,60,1.49465E-05,0
161.77178,-39.028953,60,7.27169E-06,0
161.79873,-38.805895,60,3.37844E-06,0
161.8255,-38.582906,60,1.57501E-06,0
161.85209,-38.359989,60,8.67899E-07,0
161.87851,-38.137147,60,6.46727E-07,0
161.90476,-37.914385,60,5.22501E-07,0
161.93084,-37.691706,60,3.21343E-07,0
161.95676,-37.469112,60,7.66910E-08,0
161.98251,-37.246608,60,-1.09937E-07,0
162.0081,-37.024198,60,-2.11813E-07,0
162.03352,-36.801883,60,-2.41271E-07,0
162.05879,-36.579668,60,-2.22929E-07,0
162.0839,-36.357557,60,-1.84883E-07,0
162.10885,-36.135552,60,-1.49591E-07,0
162.13365,-35.913657,60,-1.28277E-07,0
162.1583,-35.691875,60,-1.13950E-07,0
162.1828,-35.47021,60,-9.48252E-08,0
160.40879,-50.660193,60,4.26411E-12,0
160.44755,-50.438339,60,6.24846E-12,0
160.48596,-50.216369,60,8.15302E-12,0
160.52403,-49.994288,60,9.58823E-12,0
160.56177,-49.772098,60,9.01093E-12,0
160.59918,-49.549804,60,6.38205E-12,0
160.63626,-49.327409,60,6.06800E-12,0
160.67303,-49.104916,60,8.31509E-12,0
160.70948,-48.882329,60,-1.38154E-10,0
160.74562,-48.659652,60,-8.50277E-10,0
160.78146,-48.436888,60,-2.67381E-09,0
160.81699,-48.214041,60,-6.08167E-09,0
160.85223,-47.991114,60,-1.11751E-08,0
160.88717,-47.76811,60,-1.58844E-08,0
160.92182,-47.545034,60,-1.68077E-08,0
160.95619,-47.321889,60,-1.55373E-08,0
160.99028,-47.098679,60,-2.08023E-08,0
161.0241,-46.875406,60,-4.96501E-08,0
161.05763,-46.652075,60,-1.53796E-07,0
161.09091,-46.428689,60,-4.14906E-07,0
161.12391,-46.205252,60,-1.09591E-06,0
161.15665,-45.981768,60,-2.56283E-06,0
161.18914,-45.758239,60,-5.20779E-06,0
161.22137,-45.53467,60,-8.74989E-06,0
161.25335,-45.311064,60,-1.17122E-05,0
161.28508,-45.087424,60,-1.31064E-05,0
161.31656,-44.863755,60,-1.29624E-05,0
161.34781,-44.640059,60,-1.17354E-05,0
161.37882,-44.416341,60,-9.98761E-06,0
161.40959,-44.192604,60,-8.57514E-06,0
161.44013,-43.968851,60,-8.21964E-06,0
161.47044,-43.745087,60,-8.21003E-06,0
161.50052,-43.521314,60,-6.23335E-06,0
161.53039,-43.297536,60,-3.40537E-06,0
161.56003,-43.073757,60,-4.36512E-06,0
161.58946,-42.84998,60,-4.84167E-06,0
161.61867,-42.626209,60,9.27112E-06,0
161.64767,-42.402448,60,3.70506E-05,0
161.67646,-42.178699,60,6.07697E-05,0
161.70505,-41.954967,60,8.63925E-05,0
161.73343,-41.731256,60,1.53770E-04,0
161.76161,-41.507568,60,2.76773E-04,0
161.78959,-41.283907,60,3.98153E-04,0
161.81738,-41.060276,60,4.51972E-04,0
161.84498,-40.83668,60,4.22821E-04,0
161.87238,-40.613122,60,3.50453E-04,0
161.89959,-40.389605,60,2.72007E-04,0
161.92662,-40.166133,60,2.00240E-04,0
161.95347,-39.942709,60,1.45949E-04,0
161.98013,-39.719337,60,1.03563E-04,0
162.00661,-39.496021,60,7.09421E-05,0
162.03292,-39.272763,60,4.72135E-05,0
162.05905,-39.049568,60,2.93012E-05,0
162.08501,-38.826438,60,1.85497E-05,0
162.1108,-38.603378,60,1.17845E-05,0
162.13641,-38.38039,60,7.64917E-06,0
162.16187,-38.157478,60,5.16462E-06,0
162.18715,-37.934647,60,3.59658E-06,0
162.21228,-37.711898,60,2.45112E-06,0
162.23724,-37.489236,60,1.52242E-06,0
162.26205,-37.266664,60,8.04718E-07,0
162.28669,-37.044185,60,3.03032E-07,0
162.31118,-36.821803,60,-6.36115E-09,0
162.33552,-36.599521,60,-1.59125E-07,0
162.35971,-36.377343,60,-2.08174E-07,0
162.38375,-36.155272,60,-2.08014E-07,0
162.40764,-35.933311,60,-2.00150E-07,0
162.43138,-35.711464,60,-1.83651E-07,0
162.45498,-35.489734,60,-1.42798E-07,0
160.75885,-50.6844,60,6.30471E-12,0
160.79614,-50.462443,60,1.26395E-11,0
160.8331,-50.240372,60,1.17204E-11,0
160.86974,-50.01819,60,-4.87586E-12,0
160.90605,-49.7959,60,-4.87907E-11,0
160.94205,-49.573507,60,-1.27887E-10,0
160.97773,-49.351014,60,-2.44632E-10,0
161.01311,-49.128424,60,-5.65164E-10,0
161.04818,-48.905741,60,-1.46703E-09,0
161.08296,-48.682968,60,-3.81130E-09,0
161.11744,-48.460109,60,-8.31500E-09,0
161.15163,-48.237168,60,-1.51585E-08,0
161.18553,-48.014148,60,-2.42340E-08,0
161.21915,-47.791052,60,-2.04550E-08,0
161.25249,-47.567884,60,-2.81073E-09,0
161.28556,-47.344648,60,9.91559E-09,0
161.31836,-47.121347,60,-1.95773E-08,0
161.35089,-46.897985,60,-1.38947E-07,0
161.38316,-46.674566,60,-5.21538E-07,0
161.41517,-46.451092,60,-1.34118E-06,0
161.44692,-46.227568,60,-3.08251E-06,0
161.47843,-46.003996,60,-5.96236E-06,0
161.50968,-45.780382,60,-9.89489E-06,0
161.54069,-45.556727,60,-1.36552E-05,0
161.57145,-45.333036,60,-1.56450E-05,0
161.60198,-45.109313,60,-1.33280E-05,0
161.63227,-44.88556,60,-1.09289E-05,0
161.66233,-44.661782,60,-9.60816E-06,0
161.69216,-44.437982,60,-9.87798E-06,0
